year,country,region,average_hours,happiness,social_support,govt_corruption,life_expectancy,freedom
2017,Colombia,"Latin America and Caribbean",2376,6.356999874,1.402182937,0.04666874185,0.5950279236,0.4774874151
2017,Chile,"Latin America and Caribbean",1968,6.65199995,1.284024954,0.08228798211,0.8194797039,0.3768952787
2017,Canada,"North America",1689,7.315999985,1.481348991,0.2873715162,0.8345576525,0.6111009121
2017,Belgium,"Western Europe",1578,6.890999794,1.462312698,0.2513431311,0.8180918694,0.5397707224
2017,Austria,"Western Europe",1498,7.006000042,1.459944963,0.2210603654,0.8153284192,0.5677661896
2017,Australia,"Australia and New Zealand",1662,7.28399992,1.510041952,0.3011837304,0.8438867927,0.6016073823
2016,"United States","North America",1822,7.104,1.04782,0.14868,0.779,0.48163
2016,"United Kingdom","Western Europe",1541,6.725,1.08672,0.27399,0.80991,0.50036
2016,Turkey,"Middle East and Northern Africa",1789,5.389,0.87717,0.12348,0.64718,0.23889
2016,Switzerland,"Western Europe",1577,7.509,1.14524,0.41203,0.86303,0.58557
2016,Sweden,"Western Europe",1478,7.291,1.08764,0.40867,0.83121,0.58218
2016,Slovenia,"Central and Eastern Europe",1652,5.768,1.05613,0.03635,0.79151,0.53164
2016,Slovakia,"Central and Eastern Europe",1740,6.078,1.08268,0.02947,0.70367,0.23391
2016,Portugal,"Western Europe",1737,5.123,0.94367,0.01521,0.79363,0.44727
2016,Poland,"Central and Eastern Europe",1831,5.835,1.04685,0.055,0.69058,0.4519
2016,Norway,"Western Europe",1430,7.498,1.1269,0.35776,0.79579,0.59609
2016,"New Zealand","Australia and New Zealand",1754,7.334,1.17278,0.41904,0.83096,0.58147
2016,Netherlands,"Western Europe",1446,7.339,1.02912,0.29927,0.81231,0.55211
2016,Mexico,"Latin America and Caribbean",2238,6.778,0.7146,0.18355,0.71143,0.37709
2016,Luxembourg,"Western Europe",1518,6.871,1.03999,0.35329,0.84542,0.5487
2016,Lithuania,"Central and Eastern Europe",1694,5.813,1.06411,0.0182,0.64674,0.18929
2016,Latvia,"Central and Eastern Europe",1664,5.56,0.95025,0.0889,0.63952,0.27996
2016,Japan,"Eastern Asia",1714,5.921,1.06054,0.18985,0.91491,0.46761
2016,Italy,"Western Europe",1722,5.977,1.04167,0.02556,0.85102,0.18827
2016,Israel,"Middle East and Northern Africa",1919,7.267,0.99537,0.08728,0.84917,0.36432
2016,Ireland,"Western Europe",1704,6.907,1.16157,0.29754,0.81455,0.54008
2016,Iceland,"Western Europe",1520,7.501,1.18326,0.14975,0.86733,0.56624
2016,Hungary,"Central and Eastern Europe",1755,5.145,0.93164,0.04472,0.67608,0.1977
2016,Greece,"Western Europe",1943,5.033,0.75473,0.04127,0.80029,0.05822
2016,France,"Western Europe",1522,6.478,1.00508,0.17808,0.83795,0.46562
2016,Finland,"Western Europe",1555,7.413,1.13464,0.41004,0.81091,0.57104
2016,Estonia,"Central and Eastern Europe",1767,5.517,1.05163,0.18519,0.68098,0.41511
2016,Denmark,"Western Europe",1412,7.526,1.16374,0.44453,0.79504,0.57941
2016,Czechia,"Central and Eastern Europe",1774,6.596,1.00793,0.03986,0.76376,0.41418
2016,Colombia,"Latin America and Caribbean",2392,6.481,1.02169,0.05399,0.59659,0.44735
2016,Chile,"Latin America and Caribbean",1983,6.705,0.90587,0.11451,0.81883,0.37789
2016,Canada,"North America",1701,7.404,1.0961,0.31329,0.8276,0.5737
2016,Belgium,"Western Europe",1574,6.929,1.05249,0.26248,0.81959,0.51354
2016,Austria,"Western Europe",1507,7.119,1.08383,0.21348,0.80565,0.54355
2016,Australia,"Australia and New Zealand",1660,7.313,1.10476,0.32331,0.8512,0.56837
2015,"United States","North America",1830,7.119,1.24711,0.1589,0.86179,0.54604
2015,"United Kingdom","Western Europe",1525,6.867,1.28548,0.32067,0.90943,0.59625
2015,Turkey,"Middle East and Northern Africa",1811,5.332,0.94632,0.15746,0.73172,0.22815
2015,Switzerland,"Western Europe",1577,7.587,1.34951,0.41978,0.94143,0.66557
2015,Sweden,"Western Europe",1465,7.364,1.28907,0.43844,0.91087,0.6598
2015,Slovenia,"Central and Eastern Europe",1687,5.848,1.27385,0.03787,0.87337,0.60855
2015,Slovakia,"Central and Eastern Europe",1754,5.995,1.26999,0.03431,0.78902,0.31751
2015,Portugal,"Western Europe",1732,5.102,1.13935,0.01078,0.87519,0.51469
2015,Poland,"Central and Eastern Europe",1829,5.791,1.27948,0.04212,0.77903,0.53122
2015,Norway,"Western Europe",1427,7.522,1.33095,0.36503,0.88521,0.66973
2015,"New Zealand","Australia and New Zealand",1753,7.286,1.31967,0.42922,0.90837,0.63938
2015,Netherlands,"Western Europe",1437,7.378,1.28017,0.31814,0.89284,0.61576
2015,Mexico,"Latin America and Caribbean",2234,7.187,0.91451,0.21312,0.81444,0.48181
2015,Luxembourg,"Western Europe",1519,6.946,1.21963,0.37798,0.91894,0.61583
2015,Lithuania,"Central and Eastern Europe",1673,5.833,1.25745,0.01031,0.73128,0.21342
2015,Latvia,"Central and Eastern Europe",1663,5.098,1.09562,0.06332,0.72437,0.29671
2015,Japan,"Eastern Asia",1719,5.987,1.25712,0.1806,0.99111,0.49615
2015,Italy,"Western Europe",1717,5.948,1.19777,0.02901,0.95446,0.26236
2015,Israel,"Middle East and Northern Africa",1894,7.278,1.22393,0.07785,0.91387,0.41319
2015,Ireland,"Western Europe",1682,6.94,1.36948,0.28703,0.89533,0.61777
2015,Iceland,"Western Europe",1511,7.561,1.40223,0.14145,0.94784,0.62877
2015,Hungary,"Central and Eastern Europe",1743,4.8,1.20215,0.02758,0.75905,0.32112
2015,Greece,"Western Europe",1935,4.857,0.92933,0.01397,0.88213,0.07699
2015,Germany,"Western Europe",1401,6.75,1.29937,0.21843,0.89186,0.61477
2015,France,"Western Europe",1519,6.575,1.26038,0.20646,0.94579,0.55011
2015,Finland,"Western Europe",1556,7.406,1.31826,0.41372,0.88911,0.64169
2015,Estonia,"Central and Eastern Europe",1763,5.429,1.22791,0.15184,0.77361,0.44888
2015,Denmark,"Western Europe",1407,7.527,1.36058,0.48357,0.87464,0.64938
2015,Czechia,"Central and Eastern Europe",1751,6.505,1.20643,0.02652,0.84483,0.46364
2015,Colombia,"Latin America and Caribbean",2396,6.477,1.24018,0.0512,0.69077,0.53466
2015,Chile,"Latin America and Caribbean",1999,6.67,1.12447,0.12869,0.85857,0.44132
2015,Canada,"North America",1710,7.427,1.32261,0.32957,0.90563,0.63297
2015,Belgium,"Western Europe",1575,6.937,1.28566,0.2254,0.89667,0.5845
2015,Austria,"Western Europe",1495,7.2,1.29704,0.18676,0.89042,0.62433
2015,Australia,"Australia and New Zealand",1670,7.284,1.30923,0.35637,0.93156,0.65124
